APMC,Commodity,cluster,date,modal_price,deseasonalize_price
Akluj,Cabbage,Akluj-Cabbage,2016-03-01,677,782.3333702325018
Akluj,Cabbage,Akluj-Cabbage,2015-05-01,538,832.4200420488925
Akluj,Cabbage,Akluj-Cabbage,2016-05-01,743,884.8781644492426
Akluj,Cabbage,Akluj-Cabbage,2014-11-01,611,834.5191121321611
Akluj,Cabbage,Akluj-Cabbage,2015-11-01,692,1006.2414366852852
Akluj,Cabbage,Akluj-Cabbage,2014-10-01,584,900.136112769645
Akluj,Cabbage,Akluj-Cabbage,2015-10-01,740,1087.5809696441265
Akluj,Cabbage,Akluj-Cabbage,2016-10-01,433,1303.894191053014
Akluj,Cabbage,Akluj-Cabbage,2014-09-01,700,1124.8504211254103
Akluj,Cabbage,Akluj-Cabbage,2015-09-01,825,438.4492467123607
Akluj,Cabbage,Akluj-Cabbage,2016-09-01,508,427.88908363359076
Akluj,Chikoo,Akluj-Chikoo,2015-04-01,1567,1564.1076388888882
Akluj,Chikoo,Akluj-Chikoo,2016-04-01,2800,1519.8576388888891
Akluj,Chikoo,Akluj-Chikoo,2015-08-01,2747,1910.9826388888896
Akluj,Chikoo,Akluj-Chikoo,2016-08-01,3443,2653.982638888889
Akluj,Chikoo,Akluj-Chikoo,2014-12-01,2524,1950.9826388888891
Akluj,Chikoo,Akluj-Chikoo,2015-12-01,2822,1975.7326388888887
Akluj,Chikoo,Akluj-Chikoo,2015-02-01,1825,2138.5243055555557
Akluj,Chikoo,Akluj-Chikoo,2016-02-01,2880,2040.3993055555554
Akluj,Chikoo,Akluj-Chikoo,2015-01-01,1922,2381.565972222222
Akluj,Chikoo,Akluj-Chikoo,2016-01-01,2963,2433.6493055555557
Akluj,Chikoo,Akluj-Chikoo,2015-07-01,2636,2489.440972222222
Akluj,Chikoo,Akluj-Chikoo,2016-07-01,2870,2576.774305555555
Akluj,Chikoo,Akluj-Chikoo,2015-06-01,2250,2661.1076388888882
Akluj,Chikoo,Akluj-Chikoo,2016-06-01,2976,2752.857638888889
Akluj,Chikoo,Akluj-Chikoo,2015-03-01,1600,2862.9826388888896
Akluj,Chikoo,Akluj-Chikoo,2016-03-01,2569,2951.982638888889
Akluj,Chikoo,Akluj-Chikoo,2015-05-01,1625,2991.982638888889
Akluj,Chikoo,Akluj-Chikoo,2016-05-01,3035,3030.7326388888887
Akluj,Chikoo,Akluj-Chikoo,2014-11-01,2510,3107.5243055555557
Akluj,Chikoo,Akluj-Chikoo,2015-11-01,3462,3273.3993055555557
Akluj,Chikoo,Akluj-Chikoo,2014-10-01,2300,3791.565972222222
Akluj,Chikoo,Akluj-Chikoo,2015-10-01,3533,3159.6493055555557
Akluj,Chikoo,Akluj-Chikoo,2016-10-01,3000,2723.440972222222
Akluj,Chikoo,Akluj-Chikoo,2014-09-01,2130,3272.774305555555
Akluj,Chikoo,Akluj-Chikoo,2015-09-01,3227,2490.1076388888882
Akluj,Chikoo,Akluj-Chikoo,2016-09-01,3056,2219.857638888889
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-04-01,2667,3162.618140132993
Akluj,Chillies(Red),Akluj-Chillies(Red),2016-04-01,7333,3403.794206063754
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-08-01,3636,3498.737876371037
Akluj,Chillies(Red),Akluj-Chillies(Red),2016-08-01,5550,3264.780321427067
Akluj,Chillies(Red),Akluj-Chillies(Red),2014-12-01,2171,2856.5254899503716
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-12-01,2500,3255.544172458985
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-02-01,2840,2691.628450349202
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-01-01,2653,2564.5714011486807
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-07-01,2000,2550.3285968404048
Akluj,Chillies(Red),Akluj-Chillies(Red),2016-07-01,7100,2560.5020284891725
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-06-01,3375,2616.003750039678
Akluj,Chillies(Red),Akluj-Chillies(Red),2016-06-01,7000,2695.168120017689
Akluj,Chillies(Red),Akluj-Chillies(Red),2015-03-01,3353,2802.705060482822
Akluj,Chillies(Red),Akluj-Chillies(Red),2016-03-01,5250,3049.994808300855
